url,tactile,caption
images_rgb/image_1422_rgb.jpg,images_tac/image_1422_tac.jpg,"soft, fabric, lined"
images_rgb/image_1227_rgb.jpg,images_tac/image_1227_tac.jpg,"hard, smooth, splotchy, flat"
images_rgb/image_1794_rgb.jpg,images_tac/image_1794_tac.jpg,"rigid, smooth"
images_rgb/image_4047_rgb.jpg,images_tac/image_4047_tac.jpg,"soft, grainy, fabric, patterned"
images_rgb/image_2900_rgb.jpg,images_tac/image_2900_tac.jpg,"soft, lined, fabric"
images_rgb/image_1675_rgb.jpg,images_tac/image_1675_tac.jpg,"flat, fabric, grainy"
images_rgb/image_153_rgb.jpg,images_tac/image_153_tac.jpg,"grainy, soft, fabric"
images_rgb/image_3275_rgb.jpg,images_tac/image_3275_tac.jpg,"soft, grainy, patterned, fabric"
images_rgb/image_2064_rgb.jpg,images_tac/image_2064_tac.jpg,"hard, splotchy, glossy"
images_rgb/image_1500_rgb.jpg,images_tac/image_1500_tac.jpg,"fabric, lined"
images_rgb/image_2280_rgb.jpg,images_tac/image_2280_tac.jpg,"lined, fabric"
images_rgb/image_3327_rgb.jpg,images_tac/image_3327_tac.jpg,"lined, smooth, flat"
images_rgb/image_2616_rgb.jpg,images_tac/image_2616_tac.jpg,"lined, coarse, uneven, malleable"
images_rgb/image_4239_rgb.jpg,images_tac/image_4239_tac.jpg,"lined, flat"
images_rgb/image_781_rgb.jpg,images_tac/image_781_tac.jpg,"plastic, deformable, shiny"
images_rgb/image_4256_rgb.jpg,images_tac/image_4256_tac.jpg,"flat, lined"
images_rgb/image_1723_rgb.jpg,images_tac/image_1723_tac.jpg,"lined, grainy, fabric"
images_rgb/image_1442_rgb.jpg,images_tac/image_1442_tac.jpg,"fabric, granular"
images_rgb/image_1764_rgb.jpg,images_tac/image_1764_tac.jpg,"woven, fabric"
images_rgb/image_4197_rgb.jpg,images_tac/image_4197_tac.jpg,"rubbery, deformable, wired, uneven"
images_rgb/image_74_rgb.jpg,images_tac/image_74_tac.jpg,"fabric, patterned"
images_rgb/image_4567_rgb.jpg,images_tac/image_4567_tac.jpg,"smooth, lined"
images_rgb/image_13_rgb.jpg,images_tac/image_13_tac.jpg,"lined, flat"
images_rgb/image_1028_rgb.jpg,images_tac/image_1028_tac.jpg,"glossy, woven, flexible"
images_rgb/image_3594_rgb.jpg,images_tac/image_3594_tac.jpg,"engraved, hard"
images_rgb/image_1271_rgb.jpg,images_tac/image_1271_tac.jpg,"shiny, imprinted"
images_rgb/image_3864_rgb.jpg,images_tac/image_3864_tac.jpg,"fabric, coarse"
images_rgb/image_1300_rgb.jpg,images_tac/image_1300_tac.jpg,"deformable, fabric"
images_rgb/image_2371_rgb.jpg,images_tac/image_2371_tac.jpg,"soft, lined, fabric"
images_rgb/image_856_rgb.jpg,images_tac/image_856_tac.jpg,"absorbent, fluffy"
images_rgb/image_2889_rgb.jpg,images_tac/image_2889_tac.jpg,"creased, fabric"
images_rgb/image_1699_rgb.jpg,images_tac/image_1699_tac.jpg,"sewn, lined, grainy, flat, fabric"
images_rgb/image_3062_rgb.jpg,images_tac/image_3062_tac.jpg,"soft, grainy, patterned, fabric"
images_rgb/image_577_rgb.jpg,images_tac/image_577_tac.jpg,"hard, flat, smooth, splotchy"
images_rgb/image_4555_rgb.jpg,images_tac/image_4555_tac.jpg,"flat, hard"
images_rgb/image_3489_rgb.jpg,images_tac/image_3489_tac.jpg,"soft, fabric, patterned"
images_rgb/image_3187_rgb.jpg,images_tac/image_3187_tac.jpg,"fabric, grainy"
images_rgb/image_1072_rgb.jpg,images_tac/image_1072_tac.jpg,"uneven, patterned"
images_rgb/image_1845_rgb.jpg,images_tac/image_1845_tac.jpg,"grainy, fabric"
images_rgb/image_4409_rgb.jpg,images_tac/image_4409_tac.jpg,"hard, flat, smooth"
images_rgb/image_808_rgb.jpg,images_tac/image_808_tac.jpg,"hard, splotchy, glossy"
images_rgb/image_1522_rgb.jpg,images_tac/image_1522_tac.jpg,"fabric, patterned, woven"
images_rgb/image_3077_rgb.jpg,images_tac/image_3077_tac.jpg,"flat, grainy, fabric, lined"
images_rgb/image_1529_rgb.jpg,images_tac/image_1529_tac.jpg,"soft, woven, fabric, patterned, lined"
images_rgb/image_3804_rgb.jpg,images_tac/image_3804_tac.jpg,"soft, grainy, patterned, fabric"
images_rgb/image_332_rgb.jpg,images_tac/image_332_tac.jpg,"fuzzy, grainy, soft"
images_rgb/image_2948_rgb.jpg,images_tac/image_2948_tac.jpg,"wooden, lined, smooth"
images_rgb/image_83_rgb.jpg,images_tac/image_83_tac.jpg,"hard, splotchy, glossy"
images_rgb/image_1116_rgb.jpg,images_tac/image_1116_tac.jpg,"splotchy, deformable"
images_rgb/image_1621_rgb.jpg,images_tac/image_1621_tac.jpg,"hard, splotchy, flat, smooth"
images_rgb/image_1571_rgb.jpg,images_tac/image_1571_tac.jpg,"hard, flat, splotchy, smooth"
images_rgb/image_842_rgb.jpg,images_tac/image_842_tac.jpg,"hard, flat"
images_rgb/image_180_rgb.jpg,images_tac/image_180_tac.jpg,"spongy, patterned, soft"
images_rgb/image_2319_rgb.jpg,images_tac/image_2319_tac.jpg,"lined, fabric"
images_rgb/image_1955_rgb.jpg,images_tac/image_1955_tac.jpg,"sewn, lined, grainy, fabric"
images_rgb/image_2167_rgb.jpg,images_tac/image_2167_tac.jpg,"layered, lined, deformable, uneven"
images_rgb/image_1698_rgb.jpg,images_tac/image_1698_tac.jpg,"fabric, grainy, sewn"
images_rgb/image_2868_rgb.jpg,images_tac/image_2868_tac.jpg,"soft, lined, fabric"
images_rgb/image_3245_rgb.jpg,images_tac/image_3245_tac.jpg,"patterned, fabric, deformable"
images_rgb/image_1099_rgb.jpg,images_tac/image_1099_tac.jpg,"elastic, lined, sewn"
images_rgb/image_4143_rgb.jpg,images_tac/image_4143_tac.jpg,"deformable, fabric"
images_rgb/image_161_rgb.jpg,images_tac/image_161_tac.jpg,"lined, grainy, patterned, fabric"
images_rgb/image_890_rgb.jpg,images_tac/image_890_tac.jpg,"lined, deformable"
images_rgb/image_181_rgb.jpg,images_tac/image_181_tac.jpg,"uneven, soft, cushioned, spongy"
images_rgb/image_2006_rgb.jpg,images_tac/image_2006_tac.jpg,"soft, lined, fabric"
images_rgb/image_1749_rgb.jpg,images_tac/image_1749_tac.jpg,"lined, fabric, creased"
images_rgb/image_3602_rgb.jpg,images_tac/image_3602_tac.jpg,"granular, fabric"
images_rgb/image_1985_rgb.jpg,images_tac/image_1985_tac.jpg,"grainy, deformable"
images_rgb/image_871_rgb.jpg,images_tac/image_871_tac.jpg,"metallic, rigid"
images_rgb/image_502_rgb.jpg,images_tac/image_502_tac.jpg,"patterned, flat, hard"
images_rgb/image_1443_rgb.jpg,images_tac/image_1443_tac.jpg,"lined, granular"
images_rgb/image_3270_rgb.jpg,images_tac/image_3270_tac.jpg,"fabric, lined"
images_rgb/image_1112_rgb.jpg,images_tac/image_1112_tac.jpg,"rigid, glossy"
images_rgb/image_3509_rgb.jpg,images_tac/image_3509_tac.jpg,"grainy, mesh"
images_rgb/image_824_rgb.jpg,images_tac/image_824_tac.jpg,"absorbent, fluffy"
images_rgb/image_1298_rgb.jpg,images_tac/image_1298_tac.jpg,"uneven, patterned"
images_rgb/image_569_rgb.jpg,images_tac/image_569_tac.jpg,"fabric, wrinkly"
images_rgb/image_1145_rgb.jpg,images_tac/image_1145_tac.jpg,"lined, fabric, smooth, soft"
images_rgb/image_3762_rgb.jpg,images_tac/image_3762_tac.jpg,"layered, glossy, fabric"
images_rgb/image_4543_rgb.jpg,images_tac/image_4543_tac.jpg,"rubbery, deformable, wired"
images_rgb/image_1325_rgb.jpg,images_tac/image_1325_tac.jpg,"hard, flat, smooth, splotchy"
images_rgb/image_3519_rgb.jpg,images_tac/image_3519_tac.jpg,"fabric, grainy"
images_rgb/image_2509_rgb.jpg,images_tac/image_2509_tac.jpg,"uneven, blurry"
images_rgb/image_4203_rgb.jpg,images_tac/image_4203_tac.jpg,"flat, l
ined"
images_rgb/image_3020_rgb.jpg,images_tac/image_3020_tac.jpg,"grainy, deformable"
images_rgb/image_439_rgb.jpg,images_tac/image_439_tac.jpg,"lettered, lined, fabric"
images_rgb/image_3218_rgb.jpg,images_tac/image_3218_tac.jpg,"patterned, flat"
images_rgb/image_952_rgb.jpg,images_tac/image_952_tac.jpg,"splotchy, hard, flat, smooth"
images_rgb/image_1602_rgb.jpg,images_tac/image_1602_tac.jpg,"soft, lined, patterned, woven, fabric"
images_rgb/image_2215_rgb.jpg,images_tac/image_2215_tac.jpg,"lined, patterned, woven"
images_rgb/image_4204_rgb.jpg,images_tac/image_4204_tac.jpg,"soft, lined, fabric"
images_rgb/image_3744_rgb.jpg,images_tac/image_3744_tac.jpg,"lined, soft, fabric"
images_rgb/image_1355_rgb.jpg,images_tac/image_1355_tac.jpg,"lined, fabric"
images_rgb/image_821_rgb.jpg,images_tac/image_821_tac.jpg,"soft, deforma
ble"
images_rgb/image_2301_rgb.jpg,images_tac/image_2301_tac.jpg,"fabric, lined"
images_rgb/image_351_rgb.jpg,images_tac/image_351_tac.jpg,"lined, grainy, flat, fabric"
images_rgb/image_2614_rgb.jpg,images_tac/image_2614_tac.jpg,"uneven, patterned"
images_rgb/image_1534_rgb.jpg,images_tac/image_1534_tac.jpg,"hard, splotchy, smooth, flat"
images_rgb/image_2951_rgb.jpg,images_tac/image_2951_tac.jpg,"sewn, fabric, smooth"
images_rgb/image_4475_rgb.jpg,images_tac/image_4475_tac.jpg,"uneven, lined"
images_rgb/image_1157_rgb.jpg,images_tac/image_1157_tac.jpg,"fabric, grooved"
images_rgb/image_3240_rgb.jpg,images_tac/image_3240_tac.jpg,"fabric, coarse"
images_rgb/image_159_rgb.jpg,images_tac/image_159_tac.jpg,"coarse, patterned, fluffy"
images_rgb/image_462_rgb.jpg,images_tac/image_462_tac.jpg,"hard, patterned, flat"
images_rgb/image_3089_rgb.jpg,images_tac/image_3089_tac.jpg,"grainy, deformable"
images_rgb/image_1785_rgb.jpg,images_tac/image_1785_tac.jpg,"fabric, folded, granular"
images_rgb/image_4255_rgb.jpg,images_tac/image_4255_tac.jpg,"lettered, glossy, plastic, flexible, round, smooth"
images_rgb/image_2654_rgb.jpg,images_tac/image_2654_tac.jpg,"flat, hard"
images_rgb/image_602_rgb.jpg,images_tac/image_602_tac.jpg,"lined, deformable"
images_rgb/image_423_rgb.jpg,images_tac/image_423_tac.jpg,"flat, splotchy"
images_rgb/image_458_rgb.jpg,images_tac/image_458_tac.jpg,"lined, flat"
images_rgb/image_3979_rgb.jpg,images_tac/image_3979_tac.jpg,"smooth, fabric"
images_rgb/image_4245_rgb.jpg,images_tac/image_4245_tac.jpg,"glossy, soft, flexible"
images_rgb/image_3056_rgb.jpg,images_tac/image_3056_tac.jpg,"fabric, blurry"
images_rgb/image_4257_rgb.jpg,images_tac/image_4257_tac.jpg,"shiny, woven"
images_rgb/image_3598_rgb.jpg,images_tac/image_3598_tac.jpg,"dark, unclear"
images_rgb/image_4094_rgb.jpg,images_tac/image_4094_tac.jpg,"soft, fabric"
images_rgb/image_3034_rgb.jpg,images_tac/image_3034_tac.jpg,"fabric, granular"
images_rgb/image_168_rgb.jpg,images_tac/image_168_tac.jpg,"woven, lined"
images_rgb/image_1944_rgb.jpg,images_tac/image_1944_tac.jpg,"lined, fabric"
images_rgb/image_3410_rgb.jpg,images_tac/image_3410_tac.jpg,"lined, flat"
images_rgb/image_1838_rgb.jpg,images_tac/image_1838_tac.jpg,"soft, fabric, lined"
images_rgb/image_1506_rgb.jpg,images_tac/image_1506_tac.jpg,"soft, lined, fabric"
images_rgb/image_2265_rgb.jpg,images_tac/image_2265_tac.jpg,"lined, fabric"
images_rgb/image_4243_rgb.jpg,images_tac/image_4243_tac.jpg,"bumpy, thin"
images_rgb/image_3642_rgb.jpg,images_tac/image_3642_tac.jpg,"shiny, woven"
images_rgb/image_3059_rgb.jpg,images_tac/image_3059_tac.jpg,"elastic, creased"
images_rgb/image_3054_rgb.jpg,images_tac/image_3054_tac.jpg,"soft, fabric"
images_rgb/image_3729_rgb.jpg,images_tac/image_3729_tac.jpg,"patterned, lined, sewn, flat"
images_rgb/image_421_rgb.jpg,images_tac/image_421_tac.jpg,"hard, flat, splotchy, smooth"
images_rgb/image_470_rgb.jpg,images_tac/image_470_tac.jpg,"lined, fabric, soft"
images_rgb/image_133_rgb.jpg,images_tac/image_133_tac.jpg,"patterned, hard, flat"
images_rgb/image_4289_rgb.jpg,images_tac/image_4289_tac.jpg,"uneven, lined"
images_rgb/image_4110_rgb.jpg,images_tac/image_4110_tac.jpg,"hard, smooth"
images_rgb/image_3868_rgb.jpg,images_tac/image_3868_tac.jpg,"grainy, flat"
images_rgb/image_2643_rgb.jpg,images_tac/image_2643_tac.jpg,"soft, lined, fabric"
images_rgb/image_1531_rgb.jpg,images_tac/image_1531_tac.jpg,"soft, lined, fabric, patterned"
images_rgb/image_2713_rgb.jpg,images_tac/image_2713_tac.jpg,"fabric, 
grainy"
images_rgb/image_295_rgb.jpg,images_tac/image_295_tac.jpg,"soft, grainy, fabric"
images_rgb/image_1667_rgb.jpg,images_tac/image_1667_tac.jpg,"fuzzy, deformable, fabric"
images_rgb/image_3374_rgb.jpg,images_tac/image_3374_tac.jpg,"flimsy, fabric"
images_rgb/image_2710_rgb.jpg,images_tac/image_2710_tac.jpg,"sewn, lined, creased, fabric, smooth"
images_rgb/image_3435_rgb.jpg,images_tac/image_3435_tac.jpg,"elastic, woven, sewn"
images_rgb/image_258_rgb.jpg,images_tac/image_258_tac.jpg,"grainy, deformable"
images_rgb/image_2181_rgb.jpg,images_tac/image_2181_tac.jpg,"fabric, lined, woven"
images_rgb/image_954_rgb.jpg,images_tac/image_954_tac.jpg,"uneven, patterned"
images_rgb/image_1712_rgb.jpg,images_tac/image_1712_tac.jpg,"fabric, granular"
images_rgb/image_4040_rgb.jpg,images_tac/image_4040_tac.jpg,"deformable, fabric"
images_rgb/image_31_rgb.jpg,images_tac/image_31_tac.jpg,"fabric, granular, patterned"
images_rgb/image_2245_rgb.jpg,images_tac/image_2245_tac.jpg,"woven, fabric, patterned, lined"
images_rgb/image_1141_rgb.jpg,images_tac/image_1141_tac.jpg,"sewn, lined, grainy, fabric"
images_rgb/image_910_rgb.jpg,images_tac/image_910_tac.jpg,"fabric, grooved"
images_rgb/image_3324_rgb.jpg,images_tac/image_3324_tac.jpg,"flat, hard"
images_rgb/image_840_rgb.jpg,images_tac/image_840_tac.jpg,"hard, flat, smooth, splotchy"
images_rgb/image_3737_rgb.jpg,images_tac/image_3737_tac.jpg,"fabric, smooth"
images_rgb/image_228_rgb.jpg,images_tac/image_228_tac.jpg,"creased, lined, smooth, fabric"
images_rgb/image_4115_rgb.jpg,images_tac/image_4115_tac.jpg,"hard, flat, smooth, lined"
images_rgb/image_509_rgb.jpg,images_tac/image_509_tac.jpg,"soft, fabric"
images_rgb/image_1739_rgb.jpg,images_tac/image_1739_tac.jpg,"lined, vague"
images_rgb/image_3969_rgb.jpg,images_tac/image_3969_tac.jpg,"creased, elastic"
images_rgb/image_3852_rgb.jpg,images_tac/image_3852_tac.jpg,"fabric, wrinkly"
images_rgb/image_176_rgb.jpg,images_tac/image_176_tac.jpg,"thick, fluffy, consistent"
images_rgb/image_1589_rgb.jpg,images_tac/image_1589_tac.jpg,"patterned, lined"
images_rgb/image_1376_rgb.jpg,images_tac/image_1376_tac.jpg,"lined, fabric"
images_rgb/image_471_rgb.jpg,images_tac/image_471_tac.jpg,"hard, splotchy, glossy"
images_rgb/image_3639_rgb.jpg,images_tac/image_3639_tac.jpg,"shiny, woven"
images_rgb/image_1490_rgb.jpg,images_tac/image_1490_tac.jpg,"uneven, patterned, rigid"
images_rgb/image_777_rgb.jpg,images_tac/image_777_tac.jpg,"hard, polished
, uneven"
images_rgb/image_352_rgb.jpg,images_tac/image_352_tac.jpg,"lined, flat"
images_rgb/image_1703_rgb.jpg,images_tac/image_1703_tac.jpg,"soft, fabric"
images_rgb/image_4254_rgb.jpg,images_tac/image_4254_tac.jpg,"flat, hard, smooth, lined"
images_rgb/image_1338_rgb.jpg,images_tac/image_1338_tac.jpg,"soft, lined, fabric"
images_rgb/image_1629_rgb.jpg,images_tac/image_1629_tac.jpg,"lined, woven, flat"
images_rgb/image_1615_rgb.jpg,images_tac/image_1615_tac.jpg,"fuzzy, deformable"
images_rgb/image_192_rgb.jpg,images_tac/image_192_tac.jpg,"fluffy, soft"
images_rgb/image_2558_rgb.jpg,images_tac/image_2558_tac.jpg,"flat, grainy"
images_rgb/image_1779_rgb.jpg,images_tac/image_1779_tac.jpg,"fabric, grainy"
images_rgb/image_3452_rgb.jpg,images_tac/image_3452_tac.jpg,"smooth, fabric"
images_rgb/image_3038_rgb.jpg,images_tac/image_3038_tac.jpg,"hard, shiny"
images_rgb/image_3498_rgb.jpg,images_tac/image_3498_tac.jpg,"elastic, fabric, soft, smooth"
images_rgb/image_1646_rgb.jpg,images_tac/image_1646_tac.jpg,"soft, fabric"
images_rgb/image_795_rgb.jpg,images_tac/image_795_tac.jpg,"lined, grainy, soft"
images_rgb/image_2887_rgb.jpg,images_tac/image_2887_tac.jpg,"woven, wrinkly, fabric"
images_rgb/image_3811_rgb.jpg,images_tac/image_3811_tac.jpg,"sewn, lined, grainy, fabric"
images_rgb/image_1200_rgb.jpg,images_tac/image_1200_tac.jpg,"flat, smooth, cardboard, lined"
images_rgb/image_1307_rgb.jpg,images_tac/image_1307_tac.jpg,"soft, lined, fabric"
images_rgb/image_3004_rgb.jpg,images_tac/image_3004_tac.jpg,"flat, smooth, fabric"
images_rgb/image_818_rgb.jpg,images_tac/image_818_tac.jpg,"soft, grainy, fabric"
images_rgb/image_3847_rgb.jpg,images_tac/image_3847_tac.jpg,"smooth, shiny"
images_rgb/image_112_rgb.jpg,images_tac/image_112_tac.jpg,"patterned, lined, fabric, sewn"
images_rgb/image_1014_rgb.jpg,images_tac/image_1014_tac.jpg,"shiny, woven"
images_rgb/image_3886_rgb.jpg,images_tac/image_3886_tac.jpg,"woven, round, flexible"
images_rgb/image_875_rgb.jpg,images_tac/image_875_tac.jpg,"lined, deformable"
images_rgb/image_2026_rgb.jpg,images_tac/image_2026_tac.jpg,"lined, flat"
images_rgb/image_2881_rgb.jpg,images_tac/image_2881_tac.jpg,"smooth, fabric"
images_rgb/image_879_rgb.jpg,images_tac/image_879_tac.jpg,"spongy, loose, soft"
images_rgb/image_1470_rgb.jpg,images_tac/image_1470_tac.jpg,"lined, fabric"
images_rgb/image_3607_rgb.jpg,images_tac/image_3607_tac.jpg,"lined, flat"
images_rgb/image_3268_rgb.jpg,images_tac/image_3268_tac.jpg,"lined, hard, flat, smooth"
images_rgb/image_2198_rgb.jpg,images_tac/image_2198_tac.jpg,"lined, bumpy"
images_rgb/image_1933_rgb.jpg,images_tac/image_1933_tac.jpg,"soft, fabric, lined"
images_rgb/image_979_rgb.jpg,images_tac/image_979_tac.jpg,"rubbery
, wired, deformable"
images_rgb/image_1221_rgb.jpg,images_tac/image_1221_tac.jpg,"fluffy, fabric"
images_rgb/image_3632_rgb.jpg,images_tac/image_3632_tac.jpg,"grainy, fabric"
images_rgb/image_727_rgb.jpg,images_tac/image_727_tac.jpg,"hard, flat"
images_rgb/image_4201_rgb.jpg,images_tac/image_4201_tac.jpg,"woven, flexible, round"
images_rgb/image_1967_rgb.jpg,images_tac/image_1967_tac.jpg,"soft, fabric, uneven"
images_rgb/image_1968_rgb.jpg,images_tac/image_1968_tac.jpg,"fabric, deformable"
images_rgb/image_3963_rgb.jpg,images_tac/image_3963_tac.jpg,"grainy, deformable"
images_rgb/image_2234_rgb.jpg,images_tac/image_2234_tac.jpg,"fabric, grainy"
images_rgb/image_2828_rgb.jpg,images_tac/image_2828_tac.jpg,"smooth, lined, fabric"
images_rgb/image_1047_rgb.jpg,images_tac/image_1047_tac.jpg,"paper, smooth"
images_rgb/image_2030_rgb.jpg,images_tac/image_2030_tac.jpg,"hard, splotchy, glossy"
images_rgb/image_167_rgb.jpg,images_tac/image_167_tac.jpg,"patterned, flat, hard"
images_rgb/image_1309_rgb.jpg,images_tac/image_1309_tac.jpg,"irregular, coarse"
images_rgb/image_3854_rgb.jpg,images_tac/image_3854_tac.jpg,"flat, smooth, glossy"
images_rgb/image_2114_rgb.jpg,images_tac/image_2114_tac.jpg,"lined, patterned, soft, fabric, woven"
images_rgb/image_210_rgb.jpg,images_tac/image_210_tac.jpg,"absorbent, fluffy"
images_rgb/image_2361_rgb.jpg,images_tac/image_2361_tac.jpg,"soft, lined, fabric"
images_rgb/image_1664_rgb.jpg,images_tac/image_1664_tac.jpg,"lined, woven, patterned, flat"
images_rgb/image_1551_rgb.jpg,images_tac/image_1551_tac.jpg,"patterned, fabric, soft, blurry"
images_rgb/image_809_rgb.jpg,images_tac/image_809_tac.jpg,"plastic, deformable, shiny"
images_rgb/image_4585_rgb.jpg,images_tac/image_4585_tac.jpg,"hard, flat, smooth, wooden"
images_rgb/image_843_rgb.jpg,images_tac/image_843_tac.jpg,"flat, ridged"
images_rgb/image_2781_rgb.jpg,images_tac/image_2781_tac.jpg,"fabric, blurry"
images_rgb/image_1880_rgb.jpg,images_tac/image_1880_tac.jpg,"metallic, shiny, smooth, uneven"
images_rgb/image_3158_rgb.jpg,images_tac/image_3158_tac.jpg,"grainy, deformable"
images_rgb/image_365_rgb.jpg,images_tac/image_365_tac.jpg,"flat, grainy"
images_rgb/image_1086_rgb.jpg,images_tac/image_1086_tac.jpg,"uneven, rigid"
images_rgb/image_366_rgb.jpg,images_tac/image_366_tac.jpg,"lined, fabric"
images_rgb/image_2913_rgb.jpg,images_tac/image_2913_tac.jpg,"fabric, lined, folded"
images_rgb/image_3606_rgb.jpg,images_tac/image_3606_tac.jpg,"vague, flat"
images_rgb/image_698_rgb.jpg,images_tac/image_698_tac.jpg,"smooth, hard"
images_rgb/image_4550_rgb.jpg,images_tac/image_4550_tac.jpg,"uneven, stiff, smooth"
images_rgb/image_4486_rgb.jpg,images_tac/image_4486_tac.jpg,"woven, round, flexible, straight"
images_rgb/image_996_rgb.jpg,images_tac/image_996_tac.jpg,"patterned, flat"
images_rgb/image_3470_rgb.jpg,images_tac/image_3470_tac.jpg,"creased, fabric"
images_rgb/image_189_rgb.jpg,images_tac/image_189_tac.jpg,"soft, grainy, fabric"
images_rgb/image_2595_rgb.jpg,images_tac/image_2595_tac.jpg,"hard, splotchy, glossy"
images_rgb/image_1917_rgb.jpg,images_tac/image_1917_tac.jpg,"thick, patterned"
images_rgb/image_4144_rgb.jpg,images_tac/image_4144_tac.jpg,"grainy, smooth, soft, fabric"
images_rgb/image_4336_rgb.jpg,images_tac/image_4336_tac.jpg,"shiny, woven"
images_rgb/image_2285_rgb.jpg,images_tac/image_2285_tac.jpg,"grainy, lined"
images_rgb/image_2300_rgb.jpg,images_tac/image_2300_tac.jpg,"coarse, lined"
images_rgb/image_3379_rgb.jpg,images_tac/image_3379_tac.jpg,"fabric, deformable"
images_rgb/image_3272_rgb.jpg,images_tac/image_3272_tac.jpg,"grainy, deformable"
images_rgb/image_4215_rgb.jpg,images_tac/image_4215_tac.jpg,"hard, smooth"
images_rgb/image_1347_rgb.jpg,images_tac/image_1347_tac.jpg,"hard, flat, smooth, splotchy"
images_rgb/image_524_rgb.jpg,images_tac/image_524_tac.jpg,"uneven, metallic, patterned"
images_rgb/image_2598_rgb.jpg,images_tac/image_2598_tac.jpg,"rough, cardboard"
images_rgb/image_3424_rgb.jpg,images_tac/image_3424_tac.jpg,"smooth, fabric"
images_rgb/image_1945_rgb.jpg,images_tac/image_1945_tac.jpg,"lined, grainy, fabric"
images_rgb/image_4374_rgb.jpg,images_tac/image_4374_tac.jpg,"hard, smooth"
images_rgb/image_3935_rgb.jpg,images_tac/image_3935_tac.jpg,"creased, elastic, sewn"
images_rgb/image_1761_rgb.jpg,images_tac/image_1761_tac.jpg,"fabric, soft"
images_rgb/image_3573_rgb.jpg,images_tac/image_3573_tac.jpg,"flat, grainy, fabric"
images_rgb/image_3407_rgb.jpg,images_tac/image_3407_tac.jpg,"soft, fabric, elastic"
images_rgb/image_2492_rgb.jpg,images_tac/image_2492_tac.jpg,"mesh, flexible, coarse"
images_rgb/image_2683_rgb.jpg,images_tac/image_2683_tac.jpg,"grainy, fabric"
images_rgb/image_969_rgb.jpg,images_tac/image_969_tac.jpg,"hard, splotchy, glossy"
images_rgb/image_2892_rgb.jpg,images_tac/image_2892_tac.jpg,"lined, deformable"
images_rgb/image_828_rgb.jpg,images_tac/image_828_tac.jpg,"lined, deformable"
images_rgb/image_4472_rgb.jpg,images_tac/image_4472_tac.jpg,"elastic, sewn, lined, straight"
images_rgb/image_315_rgb.jpg,images_tac/image_315_tac.jpg,"lined, smooth, fabric"
images_rgb/image_1618_rgb.jpg,images_tac/image_1618_tac.jpg,"wooden, sharp, smooth, uneven"
images_rgb/image_4036_rgb.jpg,images_tac/image_4036_tac.jpg,"coarse, stretchy, springy"
images_rgb/image_208_rgb.jpg,images_tac/image_208_tac.jpg,"soft, fabric, absorbent"
images_rgb/image_1158_rgb.jpg,images_tac/image_1158_tac.jpg,"lined, soft, fabric, creased"
images_rgb/image_4469_rgb.jpg,images_tac/image_4469_tac.jpg,"flexible, shiny"
