image_path,label,image_type,intention,question,reference_labels,model_answer
data/ssvtp\images_tac/image_2275_tac.jpg,"lined, deformable, soft, woven",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, fabric, soft, patterned, woven|fabric, deformable","The sample feels soft, lined, fabric, patterned. Compared with rock, it is fabric, deformable, diverging from typical rock traits."
data/ssvtp\images_tac/image_2275_tac.jpg,"lined, deformable, soft, woven",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","lined, fabric, soft, patterned, woven|fabric, deformable","The surface feels lined, fabric, soft, patterned. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_1398_tac.jpg,"soft, lined, fabric",tactile,property,Please describe the tactile properties of this sample.,"coarse, folded","The surface feels folded, coarse, soft, lined, fabric, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_1398_tac.jpg,"soft, lined, fabric",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","coarse, folded|metallic, rigid, intertwined","Sample feels metallic, rigid, intertwined, shiny. Compared with rock, it is less rough, hard, diverging from typical rock traits."
data/ssvtp\images_tac/image_1398_tac.jpg,"soft, lined, fabric",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","coarse, folded|metallic, rigid, intertwined","The sample feels metallic, rigid, intertwined. These cues may indicate a metal-like material."
data/ssvtp\images_tac/image_1871_tac.jpg,"lined, grainy, fabric",tactile,property,Please describe the tactile properties of this sample.,"soft, lined, fabric","The surface feels fabric, wrinkly, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_1871_tac.jpg,"lined, grainy, fabric",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","soft, lined, fabric|flat, grainy","The sample feels soft, lined, fabric, fabric, grainy. Compared with rock, it is fabric, lined, diverging from typical rock traits."
data/ssvtp\images_tac/image_1871_tac.jpg,"lined, grainy, fabric",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","soft, lined, fabric|flat, grainy","The sample feels lined, fabric. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_2751_tac.jpg,"sewn, soft, fabric",tactile,property,Please describe the tactile properties of this sample.,"sewn, lined, patterned, smooth, fabric","The surface feels sewn, lined, patterned, fabric, smooth, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_2751_tac.jpg,"sewn, soft, fabric",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","sewn, lined, patterned, smooth, fabric|soft, lined, fabric","Compared with rock, it feels soft, lined, fabric, diverging from typical rock traits."
data/ssvtp\images_tac/image_2751_tac.jpg,"sewn, soft, fabric",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","sewn, lined, patterned, smooth, fabric|soft, lined, fabric","The sample feels lined, fabric, sewn. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_2875_tac.jpg,"fabric, soft, deformable",tactile,property,Please describe the tactile properties of this sample.,"lined, deformable","The surface feels fabric, wrinkled, lined, soft, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_2875_tac.jpg,"fabric, soft, deformable",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, deformable|soft, fabric, lined","Compared with rock, it feels fabric, lined, soft, diverging from typical rock traits."
data/ssvtp\images_tac/image_2875_tac.jpg,"fabric, soft, deformable",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","lined, deformable|soft, fabric, lined","The sample feels deformable, lined, fabric. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_960_tac.jpg,"soft, lined, fabric",tactile,property,Please describe the tactile properties of this sample.,"grainy, patterned, soft, fabric","The surface feels soft, fabric, lined, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_960_tac.jpg,"soft, lined, fabric",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","grainy, patterned, soft, fabric|soft, patterned, fabric","The sample feels soft, fabric, lined. Compared with rock, it is less hard, flat, diverging from typical rock traits."
data/ssvtp\images_tac/image_960_tac.jpg,"soft, lined, fabric",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","grainy, patterned, soft, fabric|soft, patterned, fabric","The surface feels soft, fabric. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_2427_tac.jpg,"smooth, plastic, deformable",tactile,property,Please describe the tactile properties of this sample.,"shiny, vague","The surface feels shiny, vague, soft, smooth, fabric, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_2427_tac.jpg,"smooth, plastic, deformable",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","shiny, vague|soft, fabric","Sample feels shiny, vague, smooth. Compared with rock, it is less hard, rough, diverging from typical rock traits."
data/ssvtp\images_tac/image_2427_tac.jpg,"smooth, plastic, deformable",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","shiny, vague|soft, fabric","The sample feels shiny, vague. These cues may indicate a metal-like material."
data/ssvtp\images_tac/image_1793_tac.jpg,"hard, smooth, flat, splotchy",tactile,property,Please describe the tactile properties of this sample.,"hard, flat","The surface feels hard, flat, splotchy, smooth, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_1793_tac.jpg,"hard, smooth, flat, splotchy",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","hard, flat|hard, flat, splotchy, smooth","Compared with rock, it feels hard, flat, splotchy, smooth, diverging from typical rock traits."
data/ssvtp\images_tac/image_1793_tac.jpg,"hard, smooth, flat, splotchy",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","hard, flat|hard, flat, splotchy, smooth","The sample feels hard, flat, splotchy, smooth. These cues may indicate a metal-like material."
data/ssvtp\images_tac/image_185_tac.jpg,"mesh, plastic, deformable, hard",tactile,property,Please describe the tactile properties of this sample.,"mesh, plastic, deformable","The surface feels grainy, fabric, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_185_tac.jpg,"mesh, plastic, deformable, hard",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","mesh, plastic, deformable|patterned, bumpy","Sample feels mesh, plastic, deformable. Compared with rock, it is less hard, less flat, diverging from typical rock traits."
data/ssvtp\images_tac/image_185_tac.jpg,"mesh, plastic, deformable, hard",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","mesh, plastic, deformable|patterned, bumpy","The sample feels woven, glossy. These cues may indicate a metal-like material."
data/ssvtp\images_tac/image_2096_tac.jpg,"deformable, grainy, woven",tactile,property,Please describe the tactile properties of this sample.,"deformable, fabric","The surface feels lined, fabric, soft, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_2096_tac.jpg,"deformable, grainy, woven",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","deformable, fabric|hard, splotchy, flat, smooth","The sample feels hard, splotchy, flat, smooth, diverging from typical rock traits."
data/ssvtp\images_tac/image_2096_tac.jpg,"deformable, grainy, woven",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","deformable, fabric|hard, splotchy, flat, smooth","The surface feels deformable, fabric. It may be similar to a fabric-like material."
data/ssvtp\images_tac/image_464_tac.jpg,"hard, splotchy, smooth, flat",tactile,property,Please describe the tactile properties of this sample.,"lined, fabric, soft","The surface feels fabric, lined, soft, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_464_tac.jpg,"hard, splotchy, smooth, flat",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, fabric, soft|hard, splotchy, glossy","The sample feels hard, splotchy, glossy, flat. Compared with a rock, it is less lined, fabric, and more hard, splotchy, glossy, flat."
data/ssvtp\images_tac/image_464_tac.jpg,"hard, splotchy, smooth, flat",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","lined, fabric, soft|hard, splotchy, glossy","The surface feels fabric, lined, soft. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_4490_tac.jpg,"uneven, patterned, thick",tactile,property,Please describe the tactile properties of this sample.,"wired, rubbery, deformable","The surface feels wired, rubbery, deformable, smooth, fabric, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_4490_tac.jpg,"uneven, patterned, thick",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","wired, rubbery, deformable|woven, glossy, rubbery, round","The sample feels wired, rubbery, deformable, diverging from typical rock traits."
data/ssvtp\images_tac/image_4490_tac.jpg,"uneven, patterned, thick",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","wired, rubbery, deformable|woven, glossy, rubbery, round","The sample feels glossy, rubbery, round. These cues may indicate a rubber-like material."
data/ssvtp\images_tac/image_2997_tac.jpg,"deformable, grainy, fabric",tactile,property,Please describe the tactile properties of this sample.,"deformable, fabric","The surface feels fabric, deformable, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_2997_tac.jpg,"deformable, grainy, fabric",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","deformable, fabric|flat, smooth, fabric","Compared with rock, it feels fabric, deformable, diverging from typical rock traits."
data/ssvtp\images_tac/image_2997_tac.jpg,"deformable, grainy, fabric",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","deformable, fabric|flat, smooth, fabric","The sample feels fabric, deformable. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_4330_tac.jpg,"hard, lined, smooth",tactile,property,Please describe the tactile properties of this sample.,"flat, hard","The surface feels flat, hard, smooth, lined, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_4330_tac.jpg,"hard, lined, smooth",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","flat, hard|flat, smooth, wooden","Sample feels smooth, deformable. Compared with rock, it is less rough, rigid, diverging from typical stone traits."
data/ssvtp\images_tac/image_4330_tac.jpg,"hard, lined, smooth",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","flat, hard|flat, smooth, wooden","The surface feels smooth, flat. These cues may indicate a metal-like material."
data/ssvtp\images_tac/image_473_tac.jpg,"uneven, patterned, sewn, fabric",tactile,property,Please describe the tactile properties of this sample.,"uneven, patterned","The surface feels lined, fabric, soft, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_473_tac.jpg,"uneven, patterned, sewn, fabric",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","uneven, patterned|hard, splotchy, glossy","Sample differences from rock: hard, splotchy, glossy. Emphasis on tactile traits rather than typical rock feel."
data/ssvtp\images_tac/image_473_tac.jpg,"uneven, patterned, sewn, fabric",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","uneven, patterned|hard, splotchy, glossy","The surface feels hard, splotchy, glossy. These cues may indicate a metal-like material."
data/ssvtp\images_tac/image_3177_tac.jpg,"elastic, lined, deformable, wrinkly",tactile,property,Please describe the tactile properties of this sample.,"hard, flat","The surface feels hard, flat, smooth, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_3177_tac.jpg,"elastic, lined, deformable, wrinkly",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","hard, flat|soft, fabric","The sample feels fabric, elastic. Compared with rock, it is less hard, flat, and more soft, fabric, elastic, indicating a distinct tactile experience."
data/ssvtp\images_tac/image_3177_tac.jpg,"elastic, lined, deformable, wrinkly",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","hard, flat|soft, fabric","The sample feels fabric, elastic. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_2262_tac.jpg,"lined, fabric, sewn",tactile,property,Please describe the tactile properties of this sample.,"fabric, lined, grainy","The surface feels lined, grainy, fabric, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_2262_tac.jpg,"lined, fabric, sewn",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","fabric, lined, grainy|soft, lined, fabric","The sample feels fabric, lined, grainy, diverging from typical rock traits."
data/ssvtp\images_tac/image_2262_tac.jpg,"lined, fabric, sewn",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","fabric, lined, grainy|soft, lined, fabric","The sample feels grainy, fabric. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_2187_tac.jpg,"lined, deformable, soft, woven",tactile,property,Please describe the tactile properties of this sample.,"lined, patterned, woven, flat","The surface feels fabric, lined, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_2187_tac.jpg,"lined, deformable, soft, woven",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, patterned, woven, flat|woven, patterned","Sample feels lined, patterned, woven, flat. Compared with rock, it is soft, fabric, diverging from typical rock traits."
data/ssvtp\images_tac/image_2187_tac.jpg,"lined, deformable, soft, woven",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","lined, patterned, woven, flat|woven, patterned","The surface feels lined, patterned, woven. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_2480_tac.jpg,"mesh, deformable, flimsy",tactile,property,Please describe the tactile properties of this sample.,"lace, deformable","The surface feels soft, lined, fabric, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_2480_tac.jpg,"mesh, deformable, flimsy",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lace, deformable|laced, fabric","Sample differences from rock: soft, fabric, lined. Distinct traits: deformable, lace."
data/ssvtp\images_tac/image_2480_tac.jpg,"mesh, deformable, flimsy",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","lace, deformable|laced, fabric","The surface feels deformable, lace. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_691_tac.jpg,"elastic, sewn, wrinkly",tactile,property,Please describe the tactile properties of this sample.,"uneven, patterned","The surface feels soft, fabric, uneven, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_691_tac.jpg,"elastic, sewn, wrinkly",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","uneven, patterned|deformable, elastic","Sample feels fabric, bumpy. Compared with rock, it is less hard, rigid, rough, diverging from typical rock traits."
data/ssvtp\images_tac/image_691_tac.jpg,"elastic, sewn, wrinkly",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","uneven, patterned|deformable, elastic","The sample feels deformable, elastic. These cues may indicate a rubber-like material."
data/ssvtp\images_tac/image_906_tac.jpg,"lined, grainy, fabric, deformable",tactile,property,Please describe the tactile properties of this sample.,"lined, fabric","The surface feels soft, fabric, lined, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_906_tac.jpg,"lined, grainy, fabric, deformable",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, fabric|creased, lined, grainy, soft, fabric","Compared with rock, the sample feels fabric, lined, diverging from typical rock traits."
data/ssvtp\images_tac/image_906_tac.jpg,"lined, grainy, fabric, deformable",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","lined, fabric|creased, lined, grainy, soft, fabric","The sample feels lined, fabric. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_2764_tac.jpg,"fabric, soft, sewn",tactile,property,Please describe the tactile properties of this sample.,"creased, fabric, lined, grainy, smooth","The surface feels lined, grainy, fabric, sewn, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_2764_tac.jpg,"fabric, soft, sewn",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","creased, fabric, lined, grainy, smooth|soft, lined, fabric","The sample feels soft, lined, fabric, diverging from typical rock traits."
data/ssvtp\images_tac/image_2764_tac.jpg,"fabric, soft, sewn",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","creased, fabric, lined, grainy, smooth|soft, lined, fabric","The surface feels creased, fabric, lined, grainy, smooth. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_1391_tac.jpg,"soft, deformable, fabric",tactile,property,Please describe the tactile properties of this sample.,"lined, grainy, fabric","The surface feels lined, fabric, soft, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_1391_tac.jpg,"soft, deformable, fabric",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, grainy, fabric|lined, soft","Sample feels lined, fabric. Compared with rock, it is soft, fabric, diverging from typical rock traits."
data/ssvtp\images_tac/image_1391_tac.jpg,"soft, deformable, fabric",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","lined, grainy, fabric|lined, soft","The sample feels lined, grainy, fabric. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_700_tac.jpg,"flat, hard, uneven",tactile,property,Please describe the tactile properties of this sample.,"flat, hard","The surface feels hard, splotchy, glossy, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_700_tac.jpg,"flat, hard, uneven",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","flat, hard|flat, hard","Sample feels hard, smooth. Compared with rock, it is less rough, flat, diverging from typical rock traits."
data/ssvtp\images_tac/image_700_tac.jpg,"flat, hard, uneven",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","flat, hard|flat, hard","The sample feels hard, flat. These cues may indicate a stone-like material."
data/ssvtp\images_tac/image_1346_tac.jpg,"hard, flat, splotchy, grainy",tactile,property,Please describe the tactile properties of this sample.,"hard, flat","The surface feels hard, patterned, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_1346_tac.jpg,"hard, flat, splotchy, grainy",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","hard, flat|flat, splotchy","Sample traits: hard, smooth, splotchy. 

Compared with rock, it feels different due to its hard, smooth, splotchy qualities."
data/ssvtp\images_tac/image_1346_tac.jpg,"hard, flat, splotchy, grainy",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","hard, flat|flat, splotchy","The surface feels hard, flat. It may be indicative of a stone-like material."
data/ssvtp\images_tac/image_1697_tac.jpg,"fabric, coarse, sewn",tactile,property,Please describe the tactile properties of this sample.,"lined, fabric","The surface feels grainy, fabric, lined, patterned, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_1697_tac.jpg,"fabric, coarse, sewn",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, fabric|fabric, patterned, woven","Sample tactile traits: lined, fabric. 

Compared with rock, it feels soft, fabric, lined, diverging from typical rock traits."
data/ssvtp\images_tac/image_1697_tac.jpg,"fabric, coarse, sewn",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","lined, fabric|fabric, patterned, woven","The sample feels lined, fabric. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_2447_tac.jpg,"fabric, uneven, coarse",tactile,property,Please describe the tactile properties of this sample.,"lined, fabric","The surface feels fabric, lined, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_2447_tac.jpg,"fabric, uneven, coarse",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, fabric|lined, deformable","Sample feels fabric, lined. Compared with rock, it is soft, fabric, lined, diverging from typical rock traits."
data/ssvtp\images_tac/image_2447_tac.jpg,"fabric, uneven, coarse",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","lined, fabric|lined, deformable","The sample feels fabric, lined. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_3940_tac.jpg,"woven, thick, deformable",tactile,property,Please describe the tactile properties of this sample.,"hard, smooth","The surface feels soft, fabric, lined, patterned, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_3940_tac.jpg,"woven, thick, deformable",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","hard, smooth|woven, uneven","The sample feels round, woven, glossy, diverging from typical rock traits."
data/ssvtp\images_tac/image_3940_tac.jpg,"woven, thick, deformable",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","hard, smooth|woven, uneven","The surface feels woven, uneven. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_3773_tac.jpg,"fabric, lined, elastic",tactile,property,Please describe the tactile properties of this sample.,"lined, flat","The surface feels soft, lined, fabric, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_3773_tac.jpg,"fabric, lined, elastic",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, flat|lined, fabric, soft","Sample feels fabric, lined, soft, elastic. Unlike rock, it is soft, fabric, lined, diverging from typical rock traits."
data/ssvtp\images_tac/image_3773_tac.jpg,"fabric, lined, elastic",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","lined, flat|lined, fabric, soft","The sample feels soft, lined, fabric. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_2669_tac.jpg,"coarse, mesh, deformable",tactile,property,Please describe the tactile properties of this sample.,"patterned, complex","The surface feels lined, deformable, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_2669_tac.jpg,"coarse, mesh, deformable",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","patterned, complex|creased, sewn, smooth, fabric","Sample feels fabric, creased, smooth, lined. Distinct from rock, it is soft, lined, fabric, diverging from typical rock traits."
data/ssvtp\images_tac/image_2669_tac.jpg,"coarse, mesh, deformable",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","patterned, complex|creased, sewn, smooth, fabric","The sample feels creased, sewn, smooth, fabric. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_1419_tac.jpg,"hard, flat, splotchy, smooth",tactile,property,Please describe the tactile properties of this sample.,"hard, splotchy, glossy","The surface feels hard, splotchy, glossy, flat, smooth, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_1419_tac.jpg,"hard, flat, splotchy, smooth",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","hard, splotchy, glossy|uneven, metallic, rigid","Sample traits: metallic, rigid. Compared with rock, it feels hard, splotchy, glossy, uneven, diverging from typical rock traits."
data/ssvtp\images_tac/image_1419_tac.jpg,"hard, flat, splotchy, smooth",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","hard, splotchy, glossy|uneven, metallic, rigid","The sample feels uneven, metallic, rigid. These cues may indicate a metal-like material."
data/ssvtp\images_tac/image_2399_tac.jpg,"lined, coarse, uneven, fabric",tactile,property,Please describe the tactile properties of this sample.,"grainy, deformable","The surface feels grainy, deformable, fabric, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_2399_tac.jpg,"lined, coarse, uneven, fabric",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","grainy, deformable|soft, lined, fabric","The sample feels soft, fabric, lined. Compared with rock, it is different from typical stone traits."
data/ssvtp\images_tac/image_2399_tac.jpg,"lined, coarse, uneven, fabric",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","grainy, deformable|soft, lined, fabric","The surface feels soft, lined, fabric. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_4174_tac.jpg,"woven, deformable, thick",tactile,property,Please describe the tactile properties of this sample.,"hard, flat","The surface feels round, patterned, woven, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_4174_tac.jpg,"woven, deformable, thick",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","hard, flat|flat, lined","Sample feels soft, lined, fabric. Compared with rock, it is less hard, rigid, rough, diverging in tactile traits."
data/ssvtp\images_tac/image_4174_tac.jpg,"woven, deformable, thick",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","hard, flat|flat, lined","The sample feels lined, flat. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_2007_tac.jpg,"soft, fabric, deformable",tactile,property,Please describe the tactile properties of this sample.,"soft, lined, fabric","The surface feels soft, fabric, lined, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_2007_tac.jpg,"soft, fabric, deformable",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","soft, lined, fabric|lined, deformable","Compared with rock, the sample feels soft, fabric, lined, diverging from typical rock traits."
data/ssvtp\images_tac/image_2007_tac.jpg,"soft, fabric, deformable",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","soft, lined, fabric|lined, deformable","The sample feels lined, deformable. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_4023_tac.jpg,"grainy, fabric, coarse",tactile,property,Please describe the tactile properties of this sample.,"grainy, deformable","The surface feels grainy, fabric, providing a consistent and stable tactile experience."
